Comment,Designator,Footprint,LCSC,Quantity
100pF/250V,C75,C_0805_2012Metric,C107122,1
22pF/250V,C77,C_0805_2012Metric,C113818,1
220pF/250V,"C73,C74",C_0805_2012Metric,C113819,2
47pF/250V,C76,C_0805_2012Metric,C113821,1
470uF/6v,"C78,C79",CP_EIA-7343-20_Kemet-V,C116576,2
47k,"R15,R16,R17,R18",R_0805_2012Metric,C126351,4
AP2125N-3.3TRG1,U3,SOT-23_DIO,C150715,1
TP4056,U1,SOP127P600X175-9N,C16581,1
10k,"R10,R11,R12,R8,R9",R_0805_2012Metric,C17414,5
1k,"R2,R3,R4,R5",R_0805_2012Metric,C17513,4
220k,R19,R_0805_2012Metric,C17556,1
220,"R6,R7",R_0805_2012Metric,C17557,2
22k,R20,R_0805_2012Metric,C17560,1
1nF,"C80,C81",C_0805_2012Metric,C1791,2
BAT41,"D1,D2",D_SOD-123,C222251,2
10nF,"C12,C13,C14,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C82,C83,C85",C_0805_2012Metric,C237168,58
USB4105-GF-A,SKT1,GCT_USB4105-GF-A,C2765186,1
470pF/250V,C72,C_0805_2012Metric,C277525,1
5k1,"R24,R25",R_0805_2012Metric,C27834,2
100nF,"C10,C11,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C28233,8
2k6,R1,R_0805_2012Metric,C2828736,1
1uF,"C15,C16,C17,C84",C_0805_2012Metric,C28323,4
49.9/1W,"R13,R14",R_1812_4532Metric,C422079,2
1000pF/250V,"C1,C2,C3",C_0805_2012Metric,C46653,3
AO6604,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",TSOP6_AOS,C5375978,16
PJ-342B-TX-SMT,J3,PJ-342B-TX-SMT_XKB,C668606,1
2N7002,Q1,SOT-23,C8545,1
1AMP 6V PTC,FUSE1,0ZCK_BEL,C883122,1
BAT54S,"D3,D4",SOT-23,C909966,2
